text,labels
The media were portrayed as ‘‘crooked” and accused of possessing financial motivations to propagate continued vaccina- tions ‘‘which harm and kill.” ,0
Skin infections; Autism; Detox their children while there is still time; glyphosate,4
Freedom of individual parents to choose whether or not to vaccinate their children as a ‘‘basic human right.” ,6
"Specifically those affiliated with religions such as Christianity, unknowingly oppose the ingredients found in vaccines, such as aborted fetal cells.",3
"Natural immunity, which can only be obtained when children contract ‘normal’ childhood illnesses",1
"A healthy GMO-free diet, sunshine, vitamin supplements, essential oils, sleep, and exercise. ",1
Holistic or “crunchy” parenting styles that include practices such as co-sleeping and breastfeeding were touted as superior,1
Anything that can be done to reduce exposure to toxins or carcinogens should be employed. ,1
What were depicted as minor infections (e.g. a case of the measles was portrayed to be a “fun” day at home in bed with a coloring book and a chance for mother and child to bond),4
"Exhorted mothers never to take their baby to a wellness checkup, which was described as a guise for a financially-motivated vaccination appointment. ",0
"Maternal instincts, or the reported feeling of a unique bond with one’s offspring, was a source of empowerment",5
Expressed relying on their gut as the deciding factor to stay the course,5
"Called into question the credibility of doctors, large pharmaceutical companies such as Merck and Bayer, and governmental health agencies such as the CDC. Some group members",0
"The education of medical professionals was denounced as inadequate, and providers were compared to sheep blindly recommending vaccinations about which they have limited knowledge. Commenters also expressed concern that the CDC’s evidence for recommending vaccines as a preventative tool is not sufficient, called into question the ethics of the agency, and summarized evidence that attempted to discredit the CDC’s recommended vaccine schedule. ",0
Accused doctors of encouraging parents to vaccinate children for the sole intent of making a profit. ,0
"Anger was directed at pediatricians in the form of name-calling (e.g. liars, fear-mongerers, bullies). ",0
"Unvaccinated children were portrayed as more capable, more advanced in their motor skills, and generally happier. ",1
"Concern on the ingredient list seemed to be mercury and aluminum adjuvants, formaldehyde, and gly- phosate, colloquially known as Round Up. ",4
"Vaccine-induced immunity was considered to be an illusion; vaccinations actually led to increased disease outbreaks as a whole, and they believed that many diseases would have been eradicated naturally by now had vaccinations not been invented. ",1
Could easily become just another statistic. ,6
Vaccines cause autism ,4
Thanks to her ‘mother’s instinct’ ,5
Compared him to Nazi physician Josef Mengele ,0
Hired gun for “Big Pharma”,0
"Concerted effort by the media, government agencies, and pharmaceutical industry to conceal the truth about the vaccination–autism link.",0
“The system” corrupts the scientific processes and discourages meaningful dissent from doctors and scientists ,0
A vilified “Big Pharma” industry plays a central role in in this conspiracy. ,0
Possible risks would outweigh benefits to their daughter’s health.,4
Their physicians did not support the daughter being vaccinated,0
The side effect chances appear to be more than “a sore arm” or a “fever”,4
Increased sexual activity by their daughters,3
"Broad distrust of the government and the media, and articulates the supposed , a major point of contention in the information wars about vaccine safety. ",0
Link between vaccines and autism,4
Distrust of chemical elements,4
Vaccination is a burden on the taxpayer.,2
"Rising incidence of a plethora of pathological conditions, associated with either the rising number of specific vaccines, or the rising number of people who are vaccinated.",4
Resistance to needles entering one’s body,4
A single flu vaccine contains more mercury parts per billion than does hazardous waste,1
Careful not to exposure to disease,1
View diseases as a natural part of life; they strengthen the body through immunity and the spirit and mind thanks to the process of coping with and curing the infectious disease,1
Concerned with safety of vaccine (…) and long term size effects,4
Questions commercial and societal motives; Suspicion that the pharmaceutical industry influenced recommendations to make a profit.,0
Refusal of vaccination is an informed and responsible decision.,6
Fears of “tainted” vaccine batches.,4
Determining the superiority of mainstream or alternative methods of acquiring immunity was impossible,1
"Whereas vaccines included adulterated versions of the virus and adjuvants, nosodes contained no crude virus but rather the true “molecular imprint” of it.",1
"Parents who dedicated “countless hours” to researching the risks of vaccines might know more about the risks and benefits than medical authorities, who based their claims on blind faith in vaccination.",5
Some people were getting vaccines when they would not have contracted the disease anyway,4
Catching a disease aided child development; disease helped the child develop a sense of self and non-self; nosodes acted in concert with so-called natural disease processes.,1
The term morphogenetic field was used to resist the concept of vaccine-based herd immunity and argue for so-called natural herd immunity.,1
The Measles Mumps Rubella (MMR) vaccine in rising rates of autism.,4
Homeoprophylaxis schedule had an effectiveness of around 86.2–91.6%; The measles nosode had a 90% efficacy rate,1
"Chemical adjuvants, such as aluminum",4
Much of the technical sphere discourse surrounding vaccines was itself neither credible nor in line with rigorous standards; The very standards which excluded their own ability to be legitimate voices in the technical sphere also excluded the evidence produced by so-called experts; Truly “conclusive” research was lacking. ,0
"Criticized research for failing to isolate specific potential causal mechanisms, or for generalizations made to populations not explicitly included in studies. ",0
The standards of the technical sphere had become too lax. ,0
"Cited doctors who made factually inaccurate statements, missed key diagnoses, or were unable or unwilling to answer particular questions.",0
The expert status of health care providers was also related to concerns about their motives. ,0
Conflicting interests infiltrating the technical sphere,0
Truth itself is a relative entity; Scientific truth as a social construction ,5
"It was not the conclusions of research that matter but, rather, the process of discovery. This distinction reflected the importance of doing one’s own research; Scientific research—and the conclusion it yields—is personal. ",5
"Mothers’ personal experiences and perspectives were endowed with greater significance and credibility; Indeed, in light of the perceived failures of science, the “mommy gut,” or maternal intuition, emerged as a significant sense- and decision-making tool. ",5
Link between mercury (thimerosal) and vaccines,4
Questioning the efficacy of vaccines to prevent symptoms,0
Vaccination can lead to higher degrees of risk,4
"Plant extracts, ‘biopuncture’, ultraviolet blood irradiation, acupuncture, Vitamin C & D, herbs, ‘immune booster shots’, etc.; homeopathy; [naturopathy].",1
"Trust towards the government, public health experts, health authorities, pharmaceutical companies, and the media. ",0
Moderate character of the pandemic,4
Skepticism regarding the need for vaccination,4
Found it problematic to predict how severe the pandemic would be.,4
Demanding that campaign organizers write posts on side effects,0
Concern about the safety of the vaccines,4
Susceptibility to the possible diseases,4
Children either dying or getting sick after being vaccinated. ,4
Negative relationship they have with their doctors,0
"Challenges to the paternalistic authority of science and medicine, ",6
Those allergic to eggs and chickens to avoid the measles vaccine,1
Vaccinating a child against polio could cause the disease in other family members,1
Doing their own research on the subject beforehand— advice directly informed by the women’s health movement. ,5
Elevated mothers to the level of scientific experts on the subject of children’s vaccine reactions; this very form of experiential knowledge production was fostered by the women’s health movement.,5
"Other vaccine-critical mothers blamed not just doctors but also the government and drug industry, alluding as they did so to a large-scale cover-up of the dangers of the by then widely administered vaccines. ",0
Mechanistic link between the measles–mumps–rubella (MMR) vaccine and the development of autism in children ,4
The link between vaccines and autism has been kept hidden by unethical practices among CDC scientists and the agency’s close ties to the pharmaceutical industry. ,0
Demanded reduction of the brain-damage risk associated with the pertussis component of the combined diphtheria–pertussis–tetanus vaccine ,4
Vaccine-induced developmental delays in children ,4
"Health consequences associated with the biological components or contaminants of vaccines, including the microbial causes of erysipelas, syphilis, and tetanus. ",4
"Biological ‘‘impurities’’ in the vaccine; formaldehyde, glycerin, thimerosal, and aluminum.",4
Patient’s rights movement’s focus on informed consent; the women’s health movement’s emphasis on self-education; and an anti-medicalization movement that led some to question the new push for vaccination against infections,5
That all vaccines are treated as equally urgent despite dramatic differences among the infections they prevent,4
Reservations about the vaccine and saying that they wanted to see other groups get the vaccine first or gain understanding of connections to negative consequences.,4
A link between the MMR vaccine and gastrointestinal and developmental disorders in vaccinated children. ,4
"Alternative ‘natural’ approaches to vaccination such as ‘homeopathic vaccination’, ‘immune system boosting’ through a natural healthy diet; cites chicken pox, cholera, diphtheria, rabies, measles, mumps, pertussis (whooping cough), pneumonia, polio, rubella, smallpox, tetanus and tonsillitis, as susceptible to such ‘immunizations’. ",1
All were conservative in orientation. ,2
"This generally involved accusations of cover-ups involving government agencies such as the CDC, scientists and ‘big pharma’, and the silencing of those who speak out against the vaccine ‘orthodoxy’. These evocations of big business and government working closely together pose legitimate questions about accountability and echo long-standing concerns about the influence of pharmaceutical companies on health policy; The use of vaccination in a ‘totalitarian’ agenda, the use of ‘mind control’ and a ‘new world order’; the state is implicated in murder. 
",0
Mercury,4
Autism,4
Civil rights; vaccine choice; health freedom; Children's Righta,6
Big Pharma,0
Religious Exemption,3
"Uncertainties varied and related to possible long-term negative effects of vaccines on children's immune systems; autoimmune diseases, and unknown long-term effects of aluminum and other additives on the body, particularly the brain. ",4
[Personal] experiences allowed participants to express perspectives diverging from generally accepted biomedical consensus on health and illness. ,5
"Constructed Switzerland as a safe space; The risk of contracting certain VPDs, such as poliomyelitis, was virtually null in Europe and Switzerland.",4
Lack of clear scientific consensus in Switzerland before the implementation of new vaccination recommendations. ,0
"Depict them as treating humans, not herds",6
Beliefs about 'toxic ingredients’ in the vaccines; ‘poisoning children’ or ‘making the child sick,4
"Concerns about the potential side-effects of the vaccine; disabilities, deafness, mental damage, coma or death; autism, polio or cancer as a result of vaccinating their children.",4
"A good diet and a healthy lifestyle prevented the diseases that vaccines targeted, rendering the necessity of vaccination redundant or at least of reduced importance",1
These diseases were not significantly dangerous to merit vaccination; diseases targeted by vaccines are not life-threatening.,4
"They preferred their children to have ‘natural’ exposure to such diseases, thereby developing a ‘natural’ immunity; diseases are ‘natural’.",1
"Lack of trust in government institutions, and this extended to mistrust about their motives in relation with promoting vaccination",0
The relationship between the pharmaceutical industries and other influential organizations was viewed as dishonest with financial gain being at the heart of this.,0
The medical profession being influenced by the interests of vaccine manufacturers,0
Doubts about the integrity of scientific research which then created a lack of trust in the evidence they are presented with to support vaccine efficacy and safety.,0
Considering such information to be subjective and/or manipulated e especially the manner in which side-effects are minimized and reported.,0
Lack of trust in the media who are mainly seen as supporting the medical establishment viewpoint on vaccines and not promoting and supporting an ‘open’ debate about vaccine safety.,0
Vaccines represent an ‘unnatural’ approach to health and therefore are contrary to the natural actions of the body and somehow interfere with the body's ability to protect itself against disease; vaccination deprived children of the opportunity to develop immunity in a natural way.,1
Vaccination interfered with the natural immunity acquired from breastfeeding.,1
"Postponing vaccination, breastfeeding and allowing the child to acquire the target infections naturally",1
Children should have a life ‘free from chemicals and toxic ingredients’; they wanted to provide their children with a life without such toxicity.,4
[Vaccine resistance] was linked to religious faith and that vaccination was an act that would impinge on divine actions concerning the health of their child; felt that it was up to God to decide if their children would be ill or not and that vaccination was contrary to that faith-based belief.,3
Need to be fully informed to make vaccine related decisions; parental decision making is often affected by not having enough information about vaccination; ,0
There is a lack of information particularly about side effects.,0
"Difficulty in dealing with ambivalent information; A lack of objective information and that the information on vaccines is fragmentary, unbalanced and consequently unreliable.",0
"The toxicity of vaccine ingredients, vaccine side effects and the ability of the vaccines to cause disease; risk of damage that vaccinations may cause to the immune system.",4
Mistrust towards both health and pharmaceutical institutions which stemmed from a perception of personal gain for those working in them.,0
"A strong burden of responsibility around decision-making and talked about living in fear that, by choosing to vaccinate, they may expose their child to harm (from the vaccine); feeling judged and marginalized;",4
The responsibility parents felt as a result of this vicarious decision making was offset by turning to spiritual and religious beliefs and placing the fate of their child with God.,3
One could not rely on medical professionals in reference to vaccines,0
Privileging individualist epistemologies and experiential knowledge over medical expertise; Privileging of maternal individualist knowledge over the opinion of medical professionals,5
Mothers sought to establish themselves as a trustworthy source of information related to vaccine injury ,5
The actions of medical professionals were also cause for skepticism among parents providing testimonials. ,0
"Mentioned forms of “research” they conducted; go online as a means of validating their individualistic epistemologies, seeking affirmation through externalization of their diagnostic processes. ",5
"Urging the audience to “research, research, research” and “trust your gut” when considering vaccinations for their children. ",5
The strength of the VR/H community was cited at times to bolster individual mothers’ claims of credibility,5
Instances of researching vaccines and descriptions of prior medical knowledge were also prevalent means to justify a mother’s credibility and knowledge of vaccines and vaccine injury,5
"The theme of community building presented whenever the individual created a dichotomy between two groups of people—some trustworthy, others not; Individuals who did not support the anti- vaccination perspectives were often viewed as “others” who were not part of the VR/H community.",0
Causes death ,4
Ineffective ,0
Sexual Promiscuity,3
Vitamin D/bicarbonate,1
The rotavirus vaccine is unnecessary,4
Children are already receiving many vaccines.,1
It gave them influenza,4
It contained last year’s influenza strain or because there were too many different strains:,0
Autism; Dangerous chemicals,4
"Rejected the idea that medical expertise, especially clinical data tabulated by practitioners in-the-field, should be unquestionably privileged.",5
Vaccinators could not objectively assess the effects of vaccination because they had a financial stake in supporting the practice,0
"Specialisation and vaccination expertise itself created systemic biases that were embedded in vaccination statistics to favour consistently evidence supporting vaccination; This system separated vaccinators from any failures (i.e. when those they vaccinated did catch smallpox), and it made it significantly easier for those attending smallpox cases to dismiss the skill and adequacy of the vaccinators when cataloguing cases of smallpox among the vaccinated.",0
An alternative interpretive framework for the existing epidemiology and vaccine statistics,5
"Physicians, even those specialising in vaccination, could not accurately distinguish clinically between a variety of viruses artificially inoculated in a subject (different species such as syphilis, smallpox, and other animal contagions produced clinically ambiguous signs), and thus they could neither verify that a vaccination pustule would give immunity, nor distinguish a true vaccine pustule from spurious ones",0
"Vaccinators’ tacit knowledge surrounding the practice, and their expectations of the ‘proper’ outcome of each vaccination, interposed a recursively subjective reading of the data, and this occurred both consciously and unconsciously, and in predictable ways.",0
Unvaccinated subgroups are not equally susceptible to smallpox,4
"Vaccination was an expensive distraction from more proven approaches to disease control such as rigorous sanitation and quarantine of infectious cases, improved personal health through better nutrition, exercise, and a cleaner environment.",1
Cultural stereotypes that portrayed the working class as the locus of disease.,2
"Theories of the relationship between physical and spiritual health, damaging the body could also endanger the soul",1
Toward institutions,0
Toward science (Appealed to science’s fallibility),0
Toward vaccination rates,0
Toward herd immunity,1
"Vaccines cause diseases/illnesses: Attention-deficit/hyperactivity disorder (ADHD) Allergies; Asthma; Autism; Autoimmune disease Behavioral issues; Cancer; Death; Developmental regression; Diabetes; Disease that vaccine is protecting against (e.g., influenza illness from influenza vaccine); Guillain-Barre syndrome; HPV infection; Illness (general); Immune system compromise Infertility (HPV only); Irregular menses (HPV only); Learning disabilities; Liver problems; Premature menarche (HPV only); Seizures; Sudden infant death syndrome (SIDS)",4
Vaccines contain harmful ingredients ,4
Younger children are more susceptible to vaccine risks ,4
Vaccine is too new/not fully studied ,0
Vaccines do not work for everyone,1
Herd immunity increases risks of vaccine-preventable diseases ,1
Black children are given low quality vaccines,0
Naturally developed immunity is superior,1
Natural remedies as substitutes for vaccines,1
Environmental control as substitute for vaccines,1
Vaccine-preventable diseases are not severe,4
Herd immunity works so vaccination is not necessary,6
Lifestyle choices as substitutes for vaccines,1
Vaccine is unnatural human intervention ,1
Herd immunity does not work,0
Vaccine schedule is not related to effectiveness,0
Vaccines do not work ,0
Herd immunity implies herd mentality,6
Vaccine decision is a parent’s right ,6
Some vaccine ingredients are derived from fetuses ,3
HPV vaccine promotes sexual activity,3
"[Vaccinations which are given by nursing staff] as being risky to patients, due to lack of continuity of care and perceived lack of qualifications and expertise in staff groups.",0
Expressed concern about the training and individual expertise of GPs.,0
Favouring the medical input of Poland to the Health Visitor (nurse) in Scotland.,0
"Concern that vaccination provision in Scotland does not include children being examined pre-immunisation by health staff, and that children with a cough or cold may be vaccinated. ",0
Older child’s vaccination and later diagnosis of autism,4
Roman Catholicism and some other Christian denominations have expressed concern about the aborted fetal origins of the principal formulation of rubella vaccine and some cell lines used to manufacture certain types of viral vaccines. ,3
"Districts that typically decline immunization reflect a social tradition within these religious communities, related to modernity, more than a theological objection.",2
"Low immunization rates in Amish communities have been attributed variously to limited access to care, limited disease understanding, higher priority to other activities, and concerns about vaccine safety",4
"They tend to define illness in terms of failure to function in a work role, more than in terms of symptoms; Members are taught that disease is healed by convincing oneself of its unreality. ",1
"The Watch Tower Society denounced vaccination from the 1920s through the 1940s, citing scriptural passages; The group banned their members from vaccination around this time, under penalty of excommunication ",3
"Muslims may apply additional scrutiny to vaccines required for pilgrims to the annual Hajj in Mecca, when purity takes on extra significance ",3
The minister of health of the Nation of Islam advised believers to avoid all immunizations,3
"Most vaccines are genetically modified, claiming that such products are forbidden in both Judaism and Christianity based on Leviticus 19:19 and Matthew 15:13.",3
Tetanus toxoid immunization for adult women actually contained contraceptives or abortifacients were based on misunderstanding,1
Objected to immunization on the basis that God created humans in His own image and that the body is a temple not to be defiled,3
"The sexual route of exposure that can be associated with the corresponding pathogens. These objections to immunization were not theologically based per se, but rather arose indirectly as religious beliefs (usually of parents) affected views of acceptable sexual practices or timing. ",3
"She had medical issues, such as diabetes, asthma or allergies; had previously been exposed to numerous medical procedures; worried about how much a young body could tolerate and whether the vaccination would worsen her existing medical condition.",4
Extreme anxiety about injections.,4
Concern for their daughter’s autonomy; postpone the vaccination and let her decide for herself at a later date. ,6
"The information they received from the school health authorities was insufficient; did not talk about the actual vaccine and why it was needed; wanted transparent, unbiased information about all aspects of HPV and the HPV vaccination, together with links to reliable sources of more information. ",0
Girls today are exposed to sex at an early age and in a negative; wanted their daughter to postpone their first sexual experience and to only have a small number of partners.,3
The vaccine was not needed because the daughter was only supposed to have one partner and was not going to lead that kind of life of lax morals.,3
"It was important that their daughters were well informed about preventing sexually transmitted infections (STIs) before she became sexually active; the importance of using condoms and related health advice, such as taking part in future cervical cancer screening programmes; the HPV vaccine, without such information, could give them a false sense of security.",1
"They were suspicious about vaccinations in general; vaccinations were unnatural and that their child’s health would be improved, and their immune system strengthened, by having flu or the usual childhood diseases.",1
"They did not trust the school nurse. She or he did not give the family enough support, or they did not feel the nurse was competent enough to provide adequate information. ",0
The scientific record is inaccurate because it omits information about vaccine injury.,0
Side effects reported on nurses fainting and vaccine trial participants experiencing Bell palsy,4
"The COVID-19 vaccine being a vehicle for exerting political control over citizens; Concern over the influence of big, government-backed pharmaceutical companies (“Big Pharma”) that were motivated by profits instead of the desire to help people",0
"Mistrust toward the CEO of Pfizer and political figureheads in Canadian politics like Doug Ford (the elected provincial leader of Ontario), as they were not taking the vaccine; mistrust toward vaccines that was based on reports of not being able to take legal action against drug companies if a person experiences any side effects",0
"Legacy of harm caused by health care institutions that have traditionally targeted the Black, Indigenous, and people of color (BIPOC) community and the lesbian, gay, bisexual, transgender, queer+ (LGBTQ+) community; The Tuskegee syphilis experiment; The first people who were vaccinated in the United States were Black health care workers, and several Twitter users viewed this as forced participation in medical experiments; COVID-19 vaccination was viewed as paralleling the stigmatization of people who take pre-exposure prophylaxis, a medication for people living with HIV.",0
CIVIL LIBERTIES: Dealing with a real or perceived violation of civil liberties; Violating parental rights; Monitoring parents for adherence to vaccination schedules; ,6
Fear of contracting influenza from the vaccination itself.,1
"High levels of distrust of the medical community; a perception that [physicians who had written books about the dangers of vaccines] were courageous for speaking out against their peers, possibly to the detriment of their careers; physicians were biased in their attempt to get parents to vaccinate; they had specific agendas, including profit from the sale of vaccines; some would have preferred more information from their doctors on vaccines, with time to digest the information; while health care providers may have good intentions, they are unable to keep up with the volume of information available.",0
"Attaining immunity from the infection is more natural, effective and long-lasting than those related to vaccination",1
Consuming organic food and prolonging breastfeeding duration are more natural or effective than vaccination in increasing immunity against infectious disease,1
"Association of the Mumps-Measles-Rubella (MMR) vaccine with autism; Associations between vaccine adjuvants and macrophagic myofascitis, and Hepatitis B vaccine with multiple sclerosis",4
Refute the concept of herd immunity,0
"Religion as a reason to refrain from vaccination despite the absence of underlying theological evidence, such as the misconception that porcine material is used in the manufacturing of rotavirus vaccine",3
Vaccine-related side effects and adverse events,4
"First-time mothers repeatedly reported feeling vulnerable and needing guidance and sensitivity from their paediatrician. On the other hand, they felt mistrust when their physician was unavailable or when pressure was exerted on them to accept a suggested medical treatment or procedure.",0
"Mistrust in situations where mothers felt that the physician was responding in a routine manner to the mother’s emotions, ignoring fears or requests for additional information. The mothers repeatedly complained about time management in routine check-ups (little time for discussion, full waiting rooms) (…) feeling overwhelmed and stressed in such situation makes information-processing very difficult, even where the physician is trying to provide all the information.",0
"The hexa-vaccine (against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenza type b) and the MMR vaccine (mumps, measles, rubella) as being the riskiest (…) fear of side-effects, especially autism which the mothers perceived to be a potential risk; ",4
"Preferred natural or alternative treatments, especially in the initial phases of a disease.",1
"The anti-vaccination messages lead to concerns, instilling doubt, motivating people to think about side-effects, and encouraging them to seek out more information.",4
Mistrust toward the pharmaceutical business.,0
"Vaccines were dirty, contaminated with pus or bacteria.",4
Vaccines were linked to septicemia and described as loathsome,4
Religious views as a way to articulate a concern with the contents of vaccines,3
Altering the composition of blood,1
Injecting someone with an actual disease,1
Causing discomfort through vaccination.,4
Conspiracy theories about vaccination measures,0
Heavy metals and adjuvants (mercury/thimerosal),4
Cell lines of aborted fetuses,3
The production of vaccines in monkey kidneys.,3
Ads claimed that chiropractors trained to treat these interruptions and misalignments “can cure the ‘flu’”.,1
"A U.S. senator with a Christian Science background from California criticized vaccination, “de- nounc[ing] efforts of the old school physicians to set up what he terms a medical monopoly”",0
"We do not know the effects of vaccination because of insufficient safety trials, both pre- and post-licence. The most common way this is expressed is by reference to aspects of the standard model of ‘good science’.",0
The short-term nature of the trial ensures that potential links between the vaccine and long-term serious health problems will not be made. The true effects of vaccination therefore remain unknown.,0
The risk statistics used in vaccine promotion are considered more than just inaccurate: they are seen as irrelevant.,0
Mass vaccination being too concerned with the population level (one-size-fits-all),6
Vaccination and biomedicine in general were contrasted with chiropractic medicine,1
CDC or doctors in the pockets of big Pharma; big Pharma cover- ups; government cover ups of vaccine effects; physicians paid to vaccinate; vaccination policy is motivated by profit,0
Homeopathy as an alternative to vaccines; homeopathy as an alternative to medicine; food as medicine,1
"Vaccines cause rashes, seizures; kids who are not vaccinated get less illness",4
vaccines cause Sudden Infant Death Syndrome (SIDS),4
"Additives in vaccines are dangerous; posts about mercury, aluminum etc; chemicals are dangerous",4
Parents have the right to choose,6
Cannabis oil or marijuana effective at treating illness,1
Claims that vaccines cause neurological problems including seizures and autism,4
Vaccines have not been adequately tested for safety and efficacy via large-scale randomized control trials.,0
New vaccine,0
Metaphors about mistrust of new products,0
Infertility fears,4
Fear of parental disclosure (bills related to vaccination would be sent home),3
Being smart,1
Using condoms,1
"Once a woman was sexually active, it was too late to benefit from vaccination.",3
Administering the vaccine in immunization was still in doubt for its halal status because a vaccine composition was made from pigs.,3
Emergence of adverse events following immunization,4
Health workers’ attitude that tended to be ignorant when administering vaccines to their children.,0
Administering immunization was the same as adding disease to children.,1
"Herbal medicines could replace immunization, exclusive breastfeeding, other strategies (putting a bit of honey on the baby’s palate), and letting children play in the environment.",1
Peer pressure created a perception among the delaying mothers that they would put their children’s ability to speak at risk if they accepted the vaccine.,4
"Perceived risk of vaccine side effects, especially related to speech development (…) wait until the child could speak fluently.",4
Fear of other development disorders and that they did not want to risk their children developing any type of mental disorders by giving the MMR vaccine.,4
Some did not understand the reasons for vaccinating against MMR.,4
Doubted the effectiveness of the vaccine,0
Negative experiences related to how they were received at the CHC (…) These experiences included how the mothers were greeted at the CHCs by the nurses and how they were addressed with information in regard to vaccination.,0
"The mothers felt they were judged, had no chance of explaining their worries, and were denied the opportunity to get information about the vaccine.",0
Feeling of resentment and the perceived lack of interest in what they had to say,0
Little advice on managing post vaccination side effects,0
Unfriendly vaccinators/LHWs,0
Insufficient knowledge of technical skills:,0
No refresher trainings to build counselling skills,0
Religious/cultural hesitancy (local religious leaders suspicious of vaccines manufactured in foreign countries and mixing haram (forbidden in Islam) ingredients).,3
Complaints about side effects focused on,4
Alternatives to vaccination,1
Critiques biomedicine,0
Benefits of “natural” immunity,1
Vaccination as an infringement of personal liberty,6
Vaccines as government overreach,6
