text,labels
The international measures being promoted to curb the Covid-19 virus were part of a war on Islam,[1. 0. 0. 0. 0. 0. 0.]
Muslims are immune to the virus,[0. 0. 1. 0. 0. 0. 0.]
"Measures such as social distancing, promotion of water drinking during the fast and suspension of pilgrimages are attempts by evil forces to suppress Islam",[1. 0. 0. 0. 0. 0. 0.]
Health and disease as decreed by God. Having one’s child vaccinated is considered a breach of faith ,[0. 1. 0. 0. 0. 0. 0.]
"People who do accept the risks, as presented by health officials, but who do not wish to subject their own child to the risks of vaccination. These people can be said to take advantage of herd vaccination without accepting the individual costs of achieving such herd vaccination. ",[0. 0. 0. 1. 0. 0. 0.]
"They disagree with the authorities offering the vaccines about the costs and benefits. Basically, their argument is that the risks of the diseases are exaggerated and that the risks of the vaccines are downplayed ",[1. 0. 1. 0. 0. 0. 0.]
Symptoms of poor health,[0. 0. 0. 0. 0. 1. 0.]
Over-consumption of medicine to conform to Western lifestyle expectations,[0. 0. 0. 0. 1. 0. 0.]
Disengagement from nurturing children and self-care,[0. 0. 0. 0. 1. 0. 0.]
"Ignorant, uncritical or fearful conformity. ",[0. 0. 0. 1. 0. 0. 0.]
"Described unnamed vaccinated families that would regularly be burdened by illness, whereas their own families were not",[0. 0. 1. 0. 0. 0. 1.]
Resistance to being an industrial ‘‘soldier” ,[1. 0. 0. 1. 0. 0. 0.]
"Saw food that was fresh, organic and home-grown as a marker of responsible living",[0. 0. 0. 0. 1. 0. 0.]
"Those who relied upon vaccination for wellness demonstrated poor values: not sufficiently tending to children at home, or indeed having children for reasons that seemed unfathomable. ",[0. 1. 0. 0. 0. 0. 0.]
"The unwillingness of many people in contemporary society to stop, rest and allow bodily recovery",[0. 0. 0. 0. 1. 0. 0.]
Herd immunity is a theory that has never been tested,[1. 0. 0. 0. 1. 0. 0.]
Herd immunity is an impossible aim,[0. 0. 0. 0. 1. 0. 0.]
"Staying away from the vulnerable, particularly when ill but also sometimes when healthy. ",[0. 0. 0. 0. 1. 0. 0.]
The CDC lied about scientific findings concerning vaccine safety as part of a massive government cover-up.,[1. 0. 0. 0. 0. 0. 0.]
Healthcare workers are among those who refuse to get vaccinated. ,[1. 0. 0. 0. 0. 0. 0.]
Getting Bell’s Palsy; Sterilization and even death. ,[0. 0. 1. 0. 0. 0. 0.]
"The use of COVID-19 vaccine to control the population; Bill Gates and Dr. Anthony Fauci had instigated measures (i.e., microchips and enzymes in the vaccine) to control the population through the administration of the COVID-19 vaccine. ",[1. 0. 0. 0. 0. 0. 0.]
Include the term “plandemic” in the parleys which infers that governments and certain powerful individuals “planned” this health crisis to vaccinate children without parental consent as part of the new world order to control future populations. ,[1. 0. 0. 0. 0. 0. 0.]
Perpetuate the notion that COVID-19 vaccine is administered through coercion or required for military personnel,[0. 0. 0. 1. 0. 0. 0.]
Magnitude of COVID- 19 with other pandemics such as H1N1 and Ebola,[0. 0. 1. 0. 0. 0. 0.]
Vaccine efficacy such as H1N1 and flu vaccine,[1. 0. 0. 0. 0. 0. 0.]
Risk of getting infected with the virus,[0. 0. 1. 0. 0. 0. 0.]
downplaying the magnitude of COVID-19 in comparison to number of deaths caused by flu and abortion each year. ,[0. 0. 1. 0. 0. 0. 0.]
Downplay the COVID-19 severity by equating it to influenza,[0. 0. 1. 0. 0. 0. 0.]
"a series of 160 cases of encephalopathy that, he asserted, represented likely pertussis vaccine reactions. ",[0. 0. 1. 0. 0. 0. 0.]
Profoundly retarded children allegedly injured by the vaccine,[0. 0. 1. 0. 0. 0. 0.]
COVID is a Hoax,[1. 0. 0. 0. 0. 0. 0.]
Vaccine is a Hoax,[1. 0. 0. 0. 0. 0. 0.]
"Illness, damage, or death; Learning disabilities, asthma, and diabetes, to autism, attention deficit-hyperactivity disorder, and Down Syndrome; Parents’ stories about adverse vaccine effects on their children ",[0. 0. 1. 0. 0. 0. 0.]
A violation of civil liberties as associated with mandated vaccination (totalitarianism),[0. 0. 0. 1. 0. 0. 0.]
"Homeopathy, chiropractic, or other alternatives to vaccination ",[0. 0. 0. 0. 1. 0. 0.]
Mercury and aluminum compounds,[0. 0. 1. 0. 0. 0. 0.]
Vaccination being conducted solely for financial gain or that vaccinations were promoted by those with conflicts of interest ,[1. 0. 0. 0. 0. 0. 0.]
Manufactured or exaggerated threat to boost vaccination.,[1. 0. 0. 0. 0. 0. 0.]
"The human body, when it is healthy, is capable of fighting off, or suppressing, any disease. ",[0. 0. 0. 0. 1. 0. 0.]
"Poisonous and impure, and as compromising innate immunity (according to the acupuncture paradigm: as depleting qi). ",[0. 0. 1. 0. 1. 0. 0.]
"A belief described frequently by naturopaths, homeopaths, and chiropractors is that the body has an innate ability to heal. ",[0. 0. 0. 0. 1. 0. 0.]
"Susceptibility to infections was seen as the result of poor personal management of, for instance, diet, stress, exercise, and body alignment (i.e. chiropractors emphasized body alignment)—thus disrupting innate immune processes. ",[0. 0. 0. 0. 1. 0. 0.]
The immune system of a child is too fragile to handle the physiological challenge produced by vaccines,[0. 0. 1. 0. 1. 0. 0.]
Vaccines “overwhelm” an infant’s immune system. ,[0. 0. 1. 0. 1. 0. 0.]
The blood– brain barrier (BBB) “does not exist in infants.”,[0. 0. 0. 0. 1. 0. 0.]
Childhood should be a place without risk; A broad distrust of institutions and a simplistic understanding of science,[1. 0. 0. 0. 1. 0. 0.]
Deaths attributable to vaccines and vaccine-caused autism; associations between vaccines and paralysis and seizures ,[0. 0. 1. 0. 0. 0. 0.]
A conspiracy by “Big Pharma” to increase sales revenue.,[1. 0. 0. 0. 0. 0. 0.]
"The National Childhood Vaccine Injury Act, which eliminated potential financial liability of vaccine manufacturers from injury claims and California’s Senate Bill 276 which tightened vaccine exemptions ",[1. 0. 0. 0. 0. 1. 0.]
The government’s role in vaccine injury claims and allegations that the government deliberately conceals negative vaccine side effects. ,[1. 0. 0. 0. 0. 0. 0.]
"Heavy metals or ingredients disclosed in vaccine package inserts; Aluminum, mercury and aborted fetal tissue",[0. 1. 1. 0. 0. 0. 0.]
Criticized vaccine research or institutions conducting research or promoted pseudoscience as fact. ,[1. 0. 0. 0. 0. 0. 0.]
The human papillomavirus vaccine and its association with negative health impacts after vaccnination,[0. 0. 1. 0. 0. 0. 0.]
"The influenza vaccine, highlighting studies showing associations with other respiratory infections, renal failure, and suppressed immune responses",[0. 0. 1. 0. 0. 0. 0.]
"Stories about vaccine-driven epidemics, such as the vaccine-derived poliovirus; measles or the measles, mumps, and rubella vaccine",[0. 0. 1. 0. 0. 0. 1.]
"Experienced negative health impacts attributable to vaccination, often from a parent sharing a vaccine adverse health event of their child ",[0. 0. 1. 0. 0. 0. 1.]
Religious exemptions (…) and “vaccine detox.”,[0. 1. 0. 0. 1. 0. 0.]
"SIDS, autism, or death ",[0. 0. 1. 0. 0. 0. 0.]
"The pharmaceutical industry overall, or a specific pharmaceutical company, such as Merck or Pfizer ",[1. 0. 0. 0. 0. 0. 0.]
Politicians who support or are critical of those policies ,[1. 0. 0. 0. 0. 1. 0.]
"Toxins, mercury, or lead ",[0. 0. 1. 0. 0. 0. 0.]
Studies showing negative health outcomes due to vaccines ,[0. 0. 1. 0. 0. 0. 0.]
Concerns or questions around the safety of vaccines ,[0. 0. 1. 0. 0. 0. 0.]
Vaccine-caused diseases; vaccine-derived poliovirus,[0. 0. 1. 0. 1. 0. 0.]
The impacts of vaccination on family members,[0. 0. 1. 0. 0. 0. 1.]
" ""Murdoch Media Monopoly,”",[1. 0. 0. 0. 0. 0. 0.]
"Governmental agencies, such as the CDC, and pediatricians. Each entity was presented to be primarily concerned with financial gain",[1. 0. 0. 0. 0. 0. 0.]
Big Pharma and governmental agencies were portrayed as fully corrupt and knowledgeable about the fraud and deceit they actively engaged in for illicit gain. ,[1. 0. 0. 0. 0. 0. 0.]
The media were portrayed as ‘‘crooked” and accused of possessing financial motivations to propagate continued vaccina- tions ‘‘which harm and kill.” ,[1. 0. 0. 0. 0. 0. 0.]
"Perceived lack of transparency, lack of informed consent, and lack of testing for the safety and efficacy of vaccines; Calls for comparison studies between vaccinated and unvaccinated individuals were prevalent; ‘‘Shredding parties,” or the alleged practice of CDC researchers destroying documents that could prove damning in an attempt to cover up the real risks present with vaccination.",[1. 0. 0. 0. 0. 0. 0.]
Fear that an increased number of vaccines on the current schedule would lead to ‘‘toxin overload” for children; Children would now receive a total of nearly 70 injections; A child’s immune system was described to be too immature to handle so much at once. ,[0. 0. 1. 0. 1. 0. 0.]
Side effects from these many vaccines,[0. 0. 1. 0. 1. 0. 0.]
Skin infections; Autism; Detox their children while there is still time; glyphosate,[0. 0. 1. 0. 0. 0. 0.]
Mothers should trust their own gut when it comes to their children; A highly attuned maternal instinct should be cognizant of the numerous purported side effects,[0. 0. 1. 0. 0. 0. 1.]
Freedom of individual parents to choose whether or not to vaccinate their children as a ‘‘basic human right.” ,[0. 0. 0. 1. 0. 0. 0.]
"Specifically those affiliated with religions such as Christianity, unknowingly oppose the ingredients found in vaccines, such as aborted fetal cells.",[0. 1. 0. 0. 0. 0. 0.]
"Natural immunity, which can only be obtained when children contract ‘normal’ childhood illnesses",[0. 0. 0. 0. 1. 0. 0.]
"A healthy GMO-free diet, sunshine, vitamin supplements, essential oils, sleep, and exercise. ",[0. 0. 0. 0. 1. 0. 0.]
Holistic or “crunchy” parenting styles that include practices such as co-sleeping and breastfeeding were touted as superior,[0. 0. 0. 0. 1. 0. 0.]
Anything that can be done to reduce exposure to toxins or carcinogens should be employed. ,[0. 0. 0. 0. 1. 0. 0.]
What were depicted as minor infections (e.g. a case of the measles was portrayed to be a “fun” day at home in bed with a coloring book and a chance for mother and child to bond),[0. 0. 1. 0. 0. 0. 0.]
"With the exception of acupuncture, natural health never comes from a needle. ",[0. 0. 1. 0. 1. 0. 0.]
"Doctors of any kind are not needed, and repeatedly ",[1. 0. 1. 0. 0. 0. 0.]
"Exhorted mothers never to take their baby to a wellness checkup, which was described as a guise for a financially-motivated vaccination appointment. ",[1. 0. 0. 0. 0. 0. 0.]
"Chiropractors were promoted as superior to pediatricians, particularly on the issue of respecting parental vaccine choice and accommodating alternate vaccination schedules. ",[0. 0. 0. 1. 1. 0. 0.]
"Maternal instincts, or the reported feeling of a unique bond with one’s offspring, was a source of empowerment",[0. 0. 0. 0. 0. 0. 1.]
Expressed relying on their gut as the deciding factor to stay the course,[0. 0. 0. 0. 0. 0. 1.]
"Called into question the credibility of doctors, large pharmaceutical companies such as Merck and Bayer, and governmental health agencies such as the CDC. Some group members",[1. 0. 0. 0. 0. 0. 0.]
"The education of medical professionals was denounced as inadequate, and providers were compared to sheep blindly recommending vaccinations about which they have limited knowledge. Commenters also expressed concern that the CDC’s evidence for recommending vaccines as a preventative tool is not sufficient, called into question the ethics of the agency, and summarized evidence that attempted to discredit the CDC’s recommended vaccine schedule. ",[1. 0. 0. 0. 0. 0. 0.]
Accused doctors of encouraging parents to vaccinate children for the sole intent of making a profit. ,[1. 0. 0. 0. 0. 0. 0.]
"Certain diseases, such as polio, do not actually exist – pharmaceutical companies only pushed these vaccines to make money. ",[1. 0. 1. 0. 0. 0. 0.]
"Anger was directed at pediatricians in the form of name-calling (e.g. liars, fear-mongerers, bullies). ",[1. 0. 0. 0. 0. 0. 0.]
"Fear-based responses attempting to sway their decision in the form of anecdotal evidence, hearsay (e.g. my neighbor’s friend’s sister suffered this side effect), and empirical evidence from a variety of sources, such as government websites and vaccine inserts.",[0. 0. 1. 0. 0. 0. 1.]
"Detailed descriptions of the perceived adverse side effects their children experienced as a result. Those children were deemed “vaccine damaged” and reported to experience side effects including: SIDS; sensory issues, autoimmune disorders, chronic ear infections, allergies (some life-threatening), autoimmune skin issues, asthma, severe autism, mood disorders, and other chronic mental and physical conditions.  ",[0. 0. 1. 0. 0. 0. 1.]
"Unvaccinated children were portrayed as more capable, more advanced in their motor skills, and generally happier. ",[0. 0. 0. 0. 1. 0. 0.]
"Concern on the ingredient list seemed to be mercury and aluminum adjuvants, formaldehyde, and gly- phosate, colloquially known as Round Up. ",[0. 0. 1. 0. 0. 0. 0.]
"From a moral and religious standpoint, expressed concern about aborted fetal cells",[0. 1. 0. 0. 0. 0. 0.]
‘Overload’ ,[0. 0. 1. 0. 1. 0. 0.]
[Many side effects] were depicted as being much more harmful than ‘minor’ vaccine-preventable diseases.,[0. 0. 1. 0. 0. 0. 0.]
"Vaccine-induced immunity was considered to be an illusion; vaccinations actually led to increased disease outbreaks as a whole, and they believed that many diseases would have been eradicated naturally by now had vaccinations not been invented. ",[0. 0. 0. 0. 1. 0. 0.]
Babies are born with perfect immune systems; baby could be terribly injured or possibly even die,[0. 0. 1. 0. 1. 0. 0.]
Could easily become just another statistic. ,[0. 0. 0. 1. 0. 0. 0.]
Vaccines cause autism ,[0. 0. 1. 0. 0. 0. 0.]
Thanks to her ‘mother’s instinct’ ,[0. 0. 0. 0. 0. 0. 1.]
Compared him to Nazi physician Josef Mengele ,[1. 0. 0. 0. 0. 0. 0.]
"Outdated, elitist, conception of science ",[0. 0. 0. 0. 0. 1. 1.]
Hired gun for “Big Pharma”,[1. 0. 0. 0. 0. 0. 0.]
Firsthand testimony of parents of autistic children who are convinced of the vaccination–autism link,[0. 0. 1. 0. 0. 0. 1.]
"Concerted effort by the media, government agencies, and pharmaceutical industry to conceal the truth about the vaccination–autism link.",[1. 0. 0. 0. 0. 0. 0.]
The government and media have collaborated to misinform the public; President Obama denying the link between vaccines and autism; CDC covered up,[1. 0. 1. 0. 0. 1. 0.]
“The system” corrupts the scientific processes and discourages meaningful dissent from doctors and scientists ,[1. 0. 0. 0. 0. 0. 0.]
"Corrupt and elite industry with a financial incentive to keep that truth a secret, government support for that industry, a whistleblower who sacrifices their own reputation for the good of the population and a vilification of that individual based on false accusations.",[1. 0. 0. 0. 0. 0. 0.]
A vilified “Big Pharma” industry plays a central role in in this conspiracy. ,[1. 0. 0. 0. 0. 0. 0.]
Possible risks would outweigh benefits to their daughter’s health.,[0. 0. 1. 0. 0. 0. 0.]
Their physicians did not support the daughter being vaccinated,[1. 0. 0. 0. 0. 0. 0.]
The side effect chances appear to be more than “a sore arm” or a “fever”,[0. 0. 1. 0. 0. 0. 0.]
Increased sexual activity by their daughters,[0. 1. 0. 0. 0. 0. 0.]
"Broad distrust of the government and the media, and articulates the supposed , a major point of contention in the information wars about vaccine safety. ",[1. 0. 0. 0. 0. 0. 0.]
Link between vaccines and autism,[0. 0. 1. 0. 0. 0. 0.]
A “profound distrust in elites and experts” is inti- mately associated with populist politics,[1. 0. 0. 0. 0. 1. 0.]
Distrust of chemical elements,[0. 0. 1. 0. 0. 0. 0.]
Vaccination is a burden on the taxpayer.,[0. 0. 0. 0. 0. 1. 0.]
"Rising incidence of a plethora of pathological conditions, associated with either the rising number of specific vaccines, or the rising number of people who are vaccinated.",[0. 0. 1. 0. 0. 0. 0.]
Resistance to needles entering one’s body,[0. 0. 1. 0. 0. 0. 0.]
A single flu vaccine contains more mercury parts per billion than does hazardous waste,[0. 0. 0. 0. 1. 0. 0.]
Perceive babies to be too young to be vaccinated,[0. 0. 1. 0. 1. 0. 0.]
Careful not to exposure to disease,[0. 0. 0. 0. 1. 0. 0.]
View diseases as a natural part of life; they strengthen the body through immunity and the spirit and mind thanks to the process of coping with and curing the infectious disease,[0. 0. 0. 0. 1. 0. 0.]
"Prioritize natural immunity against measles; Measles is believed to help strengthen and develop the child, both physically and mentally.",[0. 0. 1. 0. 1. 0. 0.]
The risk for complications from measles is perceived small when the children are young and treated with home remedies; Express knowledge and ability to cope with measles,[0. 0. 1. 0. 1. 0. 0.]
Concerned with safety of vaccine (…) and long term size effects,[0. 0. 1. 0. 0. 0. 0.]
Questions commercial and societal motives; Suspicion that the pharmaceutical industry influenced recommendations to make a profit.,[1. 0. 0. 0. 0. 0. 0.]
"A holistic view on health, highlighting the strong mental and physical connection between body and mind needed to achieve health; preferred alternative medicine over allopathic medicine; Aligned with anthroposophic health beliefs",[0. 1. 0. 0. 1. 0. 0.]
Justified this as a freedom to choose; Prioritized what they felt was best for their children rather than for the whole of the community.,[0. 0. 0. 1. 0. 0. 0.]
Refusal of vaccination is an informed and responsible decision.,[0. 0. 0. 1. 0. 0. 0.]
Fears of “tainted” vaccine batches.,[0. 0. 1. 0. 0. 0. 0.]
Parents who had experienced what they believed to be vaccine damage to their children,[0. 0. 1. 0. 0. 0. 1.]
Determining the superiority of mainstream or alternative methods of acquiring immunity was impossible,[0. 0. 0. 0. 1. 0. 0.]
"Whereas vaccines included adulterated versions of the virus and adjuvants, nosodes contained no crude virus but rather the true “molecular imprint” of it.",[0. 0. 0. 0. 1. 0. 0.]
"Parents who dedicated “countless hours” to researching the risks of vaccines might know more about the risks and benefits than medical authorities, who based their claims on blind faith in vaccination.",[0. 0. 0. 0. 0. 0. 1.]
"While homeopathic hospitals had had a death rate of “1% or fewer,” conventional hospitals had reported a death rate of “2.5 to 1%.”",[0. 0. 1. 0. 1. 0. 0.]
Some people were getting vaccines when they would not have contracted the disease anyway,[0. 0. 1. 0. 0. 0. 0.]
Catching a disease aided child development; disease helped the child develop a sense of self and non-self; nosodes acted in concert with so-called natural disease processes.,[0. 0. 0. 0. 1. 0. 0.]
The term morphogenetic field was used to resist the concept of vaccine-based herd immunity and argue for so-called natural herd immunity.,[0. 0. 0. 0. 1. 0. 0.]
The Measles Mumps Rubella (MMR) vaccine in rising rates of autism.,[0. 0. 1. 0. 0. 0. 0.]
Homeoprophylaxis schedule had an effectiveness of around 86.2–91.6%; The measles nosode had a 90% efficacy rate,[0. 0. 0. 0. 1. 0. 0.]
"Vaccines included a “crude dose” of viral matter, in contrast to the nosode’s “energetic dose.”",[0. 0. 1. 0. 1. 0. 0.]
"Chemical adjuvants, such as aluminum",[0. 0. 1. 0. 0. 0. 0.]
Much of the technical sphere discourse surrounding vaccines was itself neither credible nor in line with rigorous standards; The very standards which excluded their own ability to be legitimate voices in the technical sphere also excluded the evidence produced by so-called experts; Truly “conclusive” research was lacking. ,[1. 0. 0. 0. 0. 0. 0.]
"Criticized research for failing to isolate specific potential causal mechanisms, or for generalizations made to populations not explicitly included in studies. ",[1. 0. 0. 0. 0. 0. 0.]
"Multivitamins appeared effective in promoting health until longitudinal data suggested otherwise, so too might new vaccines, formulations, and schedules appear safe in the absence of long-term data. ",[1. 0. 0. 0. 1. 0. 0.]
The standards of the technical sphere had become too lax. ,[1. 0. 0. 0. 0. 0. 0.]
"Cited doctors who made factually inaccurate statements, missed key diagnoses, or were unable or unwilling to answer particular questions.",[1. 0. 0. 0. 0. 0. 0.]
The expert status of health care providers was also related to concerns about their motives. ,[1. 0. 0. 0. 0. 0. 0.]
The social practice of science— despite claims of objectivity—reflects a political or economic agenda. ,[1. 0. 0. 0. 0. 1. 1.]
Conflicting interests infiltrating the technical sphere,[1. 0. 0. 0. 0. 0. 0.]
The ambiguous status of rulings from the National Vaccine Injury Compensation Program (NVICP); the rulings of the court served to validate concerns about the potential dangers of vaccination; the government was aware of vaccine safety risks. ,[1. 0. 0. 0. 0. 1. 0.]
Truth itself is a relative entity; Scientific truth as a social construction ,[0. 0. 0. 0. 0. 0. 1.]
"It was not the conclusions of research that matter but, rather, the process of discovery. This distinction reflected the importance of doing one’s own research; Scientific research—and the conclusion it yields—is personal. ",[0. 0. 0. 0. 0. 0. 1.]
The human body is beyond scientific understanding; the best a mother can aim for is to protect the body from the threat of taint or artificial and inevitably damaging intervention. ,[0. 0. 1. 0. 0. 0. 1.]
"Mothers’ personal experiences and perspectives were endowed with greater significance and credibility; Indeed, in light of the perceived failures of science, the “mommy gut,” or maternal intuition, emerged as a significant sense- and decision-making tool. ",[0. 0. 0. 0. 0. 0. 1.]
Link between mercury (thimerosal) and vaccines,[0. 0. 1. 0. 0. 0. 0.]
Questioning the efficacy of vaccines to prevent symptoms,[1. 0. 0. 0. 0. 0. 0.]
Vaccination can lead to higher degrees of risk,[0. 0. 1. 0. 0. 0. 0.]
"Plant extracts, ‘biopuncture’, ultraviolet blood irradiation, acupuncture, Vitamin C & D, herbs, ‘immune booster shots’, etc.; homeopathy; [naturopathy].",[0. 0. 0. 0. 1. 0. 0.]
"Trust towards the government, public health experts, health authorities, pharmaceutical companies, and the media. ",[1. 0. 0. 0. 0. 0. 0.]
Concerns and worries about the safety and efficacy of the influenza A (H1N1) vaccines. ,[1. 0. 1. 0. 0. 0. 0.]
Moderate character of the pandemic,[0. 0. 1. 0. 0. 0. 0.]
Skepticism regarding the need for vaccination,[0. 0. 1. 0. 0. 0. 0.]
Found it problematic to predict how severe the pandemic would be.,[0. 0. 1. 0. 0. 0. 0.]
Demanding that campaign organizers write posts on side effects,[1. 0. 0. 0. 0. 0. 0.]
Concern about the safety of the vaccines,[0. 0. 1. 0. 0. 0. 0.]
Susceptibility to the possible diseases,[0. 0. 1. 0. 0. 0. 0.]
Children either dying or getting sick after being vaccinated. ,[0. 0. 1. 0. 0. 0. 0.]
Negative relationship they have with their doctors,[1. 0. 0. 0. 0. 0. 0.]
Distrust was commonly associated with the doctors’ lack of knowledge and negligence when it came to children who suffered from allergies after vaccination or who have some other diseases.,[1. 0. 1. 0. 0. 0. 0.]
"Emphasized their traditionally defined identities as mothers as they advocated for more information on vaccine risks, greater government oversight of vaccine safety, and the right to make an informed, independent vaccination decision for their children.",[1. 0. 1. 1. 0. 0. 0.]
"Challenges to the paternalistic authority of science and medicine, ",[0. 0. 0. 1. 0. 0. 0.]
Those allergic to eggs and chickens to avoid the measles vaccine,[0. 0. 0. 0. 1. 0. 0.]
Vaccinating a child against polio could cause the disease in other family members,[0. 0. 0. 0. 1. 0. 0.]
"Encephalitis and death as possible side effects of the pertussis vaccine; Footage of mentally and physically disabled American children whose handicaps were attributed, by parents and doctors, to the pertussis (or whooping cough) component of the DPT vaccine; Fevers, inconsolable crying, seizures, brain damage, and death. ",[0. 0. 1. 0. 0. 0. 1.]
Doing their own research on the subject beforehand— advice directly informed by the women’s health movement. ,[0. 0. 0. 0. 0. 0. 1.]
Elevated mothers to the level of scientific experts on the subject of children’s vaccine reactions; this very form of experiential knowledge production was fostered by the women’s health movement.,[0. 0. 0. 0. 0. 0. 1.]
"The medical establishment had instilled a sense of fear and powerlessness in women, subjecting them to unnecessary, overmedicalized procedures that harmed them and their babies.",[1. 0. 1. 0. 0. 0. 0.]
"The need for mothers to question their doctors’ opinions; they also suggest a dramatic loss of faith in medicine, expressed in sometimes starkly gendered terms. ",[1. 0. 0. 0. 0. 0. 1.]
"Other vaccine-critical mothers blamed not just doctors but also the government and drug industry, alluding as they did so to a large-scale cover-up of the dangers of the by then widely administered vaccines. ",[1. 0. 0. 0. 0. 0. 0.]
"Criticized the risk–benefit calculus cited by public health officials, who pointed out that the vaccine might cause a few dozen cases of brain damage, but that the alternative, whooping cough, would cause thousands of deaths each year ",[1. 0. 1. 0. 0. 0. 0.]
"Saw the newly invigorated vaccine laws as an undue expansion of government is exemplified by the frequency with which, in the context of heightened Cold War tensions, they compared the laws to those of the Soviet Union and Eastern European nations. ",[0. 0. 0. 1. 0. 1. 0.]
Mechanistic link between the measles–mumps–rubella (MMR) vaccine and the development of autism in children ,[0. 0. 1. 0. 0. 0. 0.]
The link between vaccines and autism has been kept hidden by unethical practices among CDC scientists and the agency’s close ties to the pharmaceutical industry. ,[1. 0. 0. 0. 0. 0. 0.]
Demanded reduction of the brain-damage risk associated with the pertussis component of the combined diphtheria–pertussis–tetanus vaccine ,[0. 0. 1. 0. 0. 0. 0.]
Vaccine-induced developmental delays in children ,[0. 0. 1. 0. 0. 0. 0.]
"Health consequences associated with the biological components or contaminants of vaccines, including the microbial causes of erysipelas, syphilis, and tetanus. ",[0. 0. 1. 0. 0. 0. 0.]
"Biological ‘‘impurities’’ in the vaccine; formaldehyde, glycerin, thimerosal, and aluminum.",[0. 0. 1. 0. 0. 0. 0.]
Patient’s rights movement’s focus on informed consent; the women’s health movement’s emphasis on self-education; and an anti-medicalization movement that led some to question the new push for vaccination against infections,[0. 0. 0. 0. 0. 0. 1.]
"Backlash against ‘‘Big Pharma’’; expert assurances of vaccine safety as compromised by close associations among drug developers, regulators, and policy makers and by the rush to bring profitable new drugs to market. ",[1. 0. 0. 0. 0. 0. 0.]
The fear that children receive ‘‘too many’’ vaccines ‘‘too soon’’,[0. 0. 1. 0. 1. 0. 0.]
That the schedule of vaccines for children exceeds the unknown capacity of young immune systems to handle immunological tinkering,[0. 0. 1. 0. 1. 0. 0.]
That all vaccines are treated as equally urgent despite dramatic differences among the infections they prevent,[0. 0. 1. 0. 0. 0. 0.]
That vaccination is increasingly ‘‘tickling’’ the line between medical therapy and medical ‘‘enhancement’’,[0. 1. 0. 0. 0. 1. 0.]
"That humankind has yet to resolve practical and philosophical questions about the ultimate goal of expanding immunization, if not the complete elimination of all infectious disease.",[0. 1. 0. 0. 1. 0. 0.]
Reservations about the vaccine and saying that they wanted to see other groups get the vaccine first or gain understanding of connections to negative consequences.,[0. 0. 1. 0. 0. 0. 0.]
"Perceived government intervention that was not true, such as the government using vaccines to insert microchips and governmental vaccine use for population control",[1. 0. 0. 0. 0. 1. 0.]
The strength of the immune system over and above the protection of the vaccine,[0. 0. 1. 0. 1. 0. 0.]
"“Chinese virus.”; Some people may oppose vaccinations because of mistrust of healthcare providers and big pharma, denialism; Introduce the micro-chip.",[1. 0. 0. 0. 0. 0. 0.]
A link between the MMR vaccine and gastrointestinal and developmental disorders in vaccinated children. ,[0. 0. 1. 0. 0. 0. 0.]
