text,label
Parents’ right of choice,3
"Solidarity, herd immunity ",3
Adverse reactions,2
Scientific misinformation ,0
Race extermination conspiracy ,0
Conspiracy and Misinformation ,0
Pseudo-science or attempt to undermine established knowledge with quasi-scientific opinion,4
"Supporting ‘alternative’, unscientific remedies",4
Anti-vaccination sentiment expressed through a partisan political lens,5
"Conspiracy language involving accusations of cover-ups, collusion and claims to privileged information. ",0
Vaccine components,2
Concerns related to risks of vaccination ,2
Emphasizing individualized choices ,3
The vaccine was too new,0
Fear,2
Perceived risk of the vaccines ,2
Perceived contextual factors of risk ,4
Perceived risk of target diseases,2
Mistrust towards health/pharmaceutical institutions,0
Mistrust towards HPs competencies and integrity,0
Mistrust in official vaccine information,0
Beliefs about childhood immunity,4
‘A life without toxicity’,2
Spiritual and religious beliefs,1
Parents' information on vaccination,0
Lack of information,0
Dealing with ambivalence,0
Risk conceptualization,2
Philosophical view/responsibility,2
Distrust of doctors ,0
Self-diagnosis ,6
Building credibility ,6
Community building ,0
Serious side effects ,2
Conspiracy ,0
Vaccines unhealthy ,2
Minor side effects ,2
Unknown effects ,2
Side effects concerns greater than the risk of cancer,2
Lack of sufficient information and background,0
Lack of trust in HCPs’ vaccination competency,0
Misinformation,2
Fear of side effects,2
Lack of training,0
Insufficient information for HCPs,0
Vaccine has side-effects,2
Vaccine is ineffective,0
Dislike or distrust of health services,0
Efficacy,0
Disease severity and susceptibility,2
Risks vs. benefits.,2
Skepticism,0
Concern over money in “big pharma” or “big money”,0
Risk to pregnant individuals,2
Personal freedom,3
There needs to be more market competition for testing and developing vaccines,0
Attempts to connect vaccines to non-autism diseases,2
Adjuvants and additives,2
Adverse effects ,2
Mistrust ,4
Skepticism about effectiveness ,0
Lack of necessity ,4
Skepticism about effectiveness ,0
Desire for autonomy ,3
Morality concerns ,1
A desire for a more “balanced” approach to receive their vaccine information,0
Wanted providers to explicitly discuss the risk of vaccination. ,0
Did not believe pediatricians were adequately educated on vaccines and thought their vaccine information was one-sided.,0
Risks of vaccination,2
Trust in the vaccination providers (health professionals),0
Balancing the risk of disease ,2
Violation of prohibitions against taking life,1
Violation of dietary laws,1
Interference with natural order by not letting events take their course. ,1
She is too fragile,4
Vaccination would be a problem because of existing health issues,2
She is afraid of needles,2
She will make her own decision later,3
We only received a piece of paper,0
Encouraging adolescents to wait for sex,1
We do not need to,1
Important to inform her about preventing STIs,4
This vaccination is different,2
Do we really have to vaccinate against everything?,0
No trust in the government’s recommendations,0
Narcolepsy as a side effect of the vaccination against the swine flu,2
The individual knows best,3
The school nurse was not supportive enough,0
Place personal narratives on equal footing with scientific studies,6
Concerns that the COVID-19 vaccine was developed more quickly than other vaccines,0
Apprehension over severe side effects,2
Conspiracy theories,0
Mistrust toward the COVID-19 vaccine resulting from Canadian and international authority figures not taking the vaccine,0
Lack of trust toward the COVID-19 vaccine resulting from how marginalized groups (…) have been historically targeted by the medical community,0
Conspiracy theory,0
Health Belief Model constructs,0
Not consider themselves at risk,2
Laziness,2
Trust of expert knowledge,0
Vaccine effectiveness,0
Pseudoscience,4
Conspiracy theories,0
"Appeal to nature, nature is better",4
Antiscience and antidoctors,0
Poor parental health literacy,4
Fear of pain,2
Unmotivated clinicians,0
Adverse events,2
Mistrust,0
Experience,2
Fears of vaccine contamination,2
"Risk is constructed as strategy, and is therefore not objective.",6
The benefits of vaccination and the dominant narrative of historical success are questioned. ,0
Vaccination creates new health risks,2
Risk is constructed as unknowns.,0
The relationship between individual and community risk is rendered complex.,3
Reframing trust,0
"Media, censorship, and ‘‘cover up”",0
Homeopathic remedies,4
Vaccination as genocide,0
Moral transgressions,1
Educational material,0
Chemicals,2
Cell cultures from aborted fetal tissue are used to grow vaccine viruses,1
Pictures of ‘‘scary needles”,2
Conspiracy theories,0
Health professionals vaccinate because of financial compensation,0
Health professionals not being well educated about vaccination,0
Invoking alternative prevention strategies,4
Delay-and-avoid decision strategy,0
Stigmatizing messages,1
The religious side,1
Vaccine quality,2
Views on the government,0
The attitude of health workers,0
The purpose of immunization,4
Immunization substitutes,4
Issues Surrounding Fear of Child Not Speaking,2
Unpleasant Encounters with Nurses,0
Alternative medicine,4
Civil liberties,3
Conspiracy,0
Morality,1
Safety concerns,2
Perceived harms of vaccination,2
Promotion of vaccine choice,3
Purported institutional fraud,0
CDC Recommendation Contradictions,0
The scientific evidence available was insufficient or untrustworthy.,0
Religion was frankly referenced as a reason to challenge what has been termed the global vaccination ‘technocracy’ (…) or ‘the cult of vaccinology.’,1
"Important facts had been overlooked or, even worse, covered up by the medical establishment’.",0
A contest over bodily governance,3
Alternative medicine,4
Civil liberties,3
Conspiracy theories/search for truth,0
"Morality, religion, and ideology",1
Vaccines are toxic,2
Vaccines should be 100% safe,2
You can’t prove vaccines are safe,4
Vaccines didn’t save us,4
Vaccines are unnatural,4
Choosing between diseases and vaccine injuries,2
You’re in the pocket of Big Pharma,0
I don’t believe in coincidences,0
I’m an expert on my own child,6
"Was unsafe the many ""accidents of vaccination”",2
Advocates of unorthodox medical theories.,4
Reasons behind vaccine refusals,0
Pashtun ethnicity,0
Religious considerations,1
Cultural considerations,5
Ideal steps to enhance vaccination uptake,0
Poor quality of vaccines,0
Conspiracy theories,0
Conspiracy theories/search for truth,0
Misinformation and falsehoods,2
Safety and effectiveness,2
Civil liberties,3
Stories about harmed children/personal experiences,6
"Morality, religion, and ideology",1
Alternative medicine,4
Non-compliance of the composition with the declared content of the vaccine,2
The composition of the vaccines violates the religious feelings of various population groups,1
Non-substantive arguments,4
Elements of religious rhetoric,1
Barriers,0
Low susceptibility,4
Low severity,2
Pharmaceutical lobby,0
Adjuvants,2
Inadequate vaccination policy,0
Ineffectiveness,0
Conspiracy theories,0
Conflicts of interest,0
Other country policy,0
Disease’s immunisation more effective than vaccination,4
Unreliability of studies,0
Composition (excluding adjuvants),2
Reinforces diseases,4
Views on vaccination,2
Cover-up,0
Unholy alliance for profit,0
Us and them,0
Poisons,2
Vaccines as the cause of idiopathic ills,2
Back to nature,4
Ideological opposition,1
Risk,4
"Lack of information, lack of neutral information, media disinformation",0
Lack of institutional support,0
"Physicians’ feeling of surprise, absence of prerequisite information",0
Lack of the training that would allow them to make a valid medical argument,0
Lack of bearings linked to modifications in the vaccination schedule,0
"Amalgams between risky sexuality, sexually transmitted disease and genital HPV infection",2
Difficulties related to the age at prescription,1
Difficulty in talking about sex with teenage girls,1
Conspiracy theory,0
Teenage girls with little interest,2
Medical disagreements,0
Uncertainty about effectiveness of vaccination,0
Mild disease,2
"Collaboration between science, politics and pharmaceutical industry",0
Spreading illness,4
Alternative means of prevention,4
Lack of perceived need.,2
Conspiracy theory,0
Low effectiveness of the vaccine,0
High health risks associated with the HPV vaccine,2
Psychological risks,1
Is part of some form of conspiracy,0
Is the cause of some generalized (non-health) fear,2
Is unnatural,4
Is against one’s religion,1
Fear if I Do (Vaccinate),2
 ‘No Need’ for the Vaccine,4
Lack of information,0
Concerns or uncertainty regarding vaccines and children’s immune system,4
Not perceived or believed to be safe,2
Belief that the vaccine caused the illness,4
Fear of adverse reactions,2
Not perceived or believed to be effective,0
Unfamiliarity or lack of personal experience with the vaccine,6
Lack of information about how vaccines work,0
Age at which vaccinations are given,4
Physicians and healthcare providers are perceived to have financial incentives or motives to encourage vaccination,0
Vaccination is unnecessary,4
The reasons for the loss of confidence,0
Aluminum salt,2
Causes and transmission of Ebola,4
Conspiracy,0
Unnatural practice.,4
Negative benefit/risk ratio,0
Health risks associated with influenza vaccination,2
Exploitation by the industry of influenza vaccination,0
"Distrust of influenza vaccine information, including statistical evidence",0
Denial of influenza vaccination efficacy based on the words and actions of health professionals,0
Proposal of natural alternatives,4
Recommendation of self-determination,0
Dangerous Vaccine,2
Conspiracy theories,0
Lack of Trust and Discontent with the National Health System,0
HPV Vaccine as “An Injectable Condom”,1
HPV Vaccine as Useless Technology,2
Conspiracy,0
Safety,2
Efficacy,0
H1N1,0
Freedom of choice,3
Alternatives to vaccination,4
Conspiracy Theories,0
Maintaining a strong and healthy body,2
Protecting decisional autonomy,3
Untrustworthy environment,0
Corruption,0
God’s will,1
Corrupted purity,1
Mistrusting State-provided Reproductive Care,0
"Complacency, wherein patients did not feel the necessity to be vaccinated",2
Religious reasons,1
Complacency,2
Confidence,0
Lower perception of risk,2
Personal data collected could be transferred to other agencies,0
Sense of good health,2
Skepticism of vaccine’s value,0
Fear of vaccine side effects,2
Dangerous ingredients,2
Diseases declined for other reasons than vaccines and/or did not decline at all,4
“Natural” immunity is better,4
Parents (especially mothers) know better: ,6
The Conflation of Expertise,0
Narrative Persuasion,6
Distrust Vaccine Oversight,0
Fear Vaccine Risks,2
Child was Harmed by Vaccines,2
Fright factors,2
Vaccines not necessarily confer immunity,0
Measles immunity is undesirable because measles virus is protective against cancer,4
"Vaccines, individually and collectively, cause more harm than the diseases that they are intended to prevent",2
"Media, censorship, and cover up",0
Vaccination as genocide,0
Vaccine injury,2
Moral transgressions,1
Food as medicine,4
They are lying to you,0
Everyone is an expert,6
Science won’t save us (nature is better),4
They are out to harm you,0
Individualist Exceptionalism,0
Environmental Controlism,2
Skeptical Stance,2
Harmonious Stance,4
Requiring people to accept what happens to them because such is set out for them by God,1
Prefer natural immunity over vaccines,4
Mistrust,0
Belief barriers,1
Issues of Trust,0
Concern about vaccine safety,2
Lack of infection risk,2
Lack of concern,2
Perception of not being at risk,2
Doubts about vaccine efficacy,0
Fear for adverse reaction,2
Media controversy,0
Perceived Risk ,2
Development speed ,0
Efficacy,0
Conspiracy ,0
Foetal tissue ,1
Safety,2
Portrayal of medical specialists,0
Giving Children a ‘‘License’’ for Sex,1
Reasoned assessment,2
Distrust,0
Personalized stories,6
A conspiracy to suppress their views,0
Naturalism and holistic cures,4
Individual’s right to refuse forcible vaccination,3
HPV vaccine is new,0
Need more information,0
No feeling of vulnerability,2
Mistrust of side effects,2
Alternative treatments,4
Trust in authorities and medical recommendations,0
Philosophical arguments against the act of vaccinating,1
Lack of trust in the government,0
The vaccine will be dangerous to health ,2
Conspiracy theories,0
Natural methods of protection against the disease are better than vaccines ,4
The vaccine is not properly tested,0
Mentioning the past development of the swine flu vaccine,0
No one is responsible for the potential side effects of the vaccine,0
Vaccines Are Unhealthy,2
Do Not Work,0
Vaccines Are a Part of a Conspiracy,0
Marginal efficacy,0
Harmful due to the ovalbumin content,2
"Maternal passive immunity from mothers after natural infection with measles lasts for 10 months, vaccine-induced immunity only for 3–6 months.",4
The decline of infectious diseases was due to better hygiene,4
Nutrition,4
Infections are not so bad,2
They can be treated,2
The parents had overcome them without vaccination.,2
The pharmaceutical industry will only make huge profits with vaccines.,0
Vaccination is an individual decision ,3
Vaccines are dangerous,2
Adverse events cannot be calculated,0
Low vaccine confidence,0
Concerns about vaccine safety,2
Lack of recommendation by a healthcare professional,0
Conflicting advice,0
Lack of discussion about pertussis,0
Confidence,0
Complacency,2
Calculation,2
Beliefs of traditional complementary and alternative medicines,4
Pseudoscience beliefs,4
Perceived religion prohibition,1
Anti-vaccine conspiracy theories,0
Government conspiracy,0
Vaccine damage,2
Vaccine effectiveness,0
Personal experience,6
Health professionals’ image,0
Government-related statements,0
Post-vaccination complications,2
False authorities,6
Conspiracy of pharmaceutical concerns,0
Medical totalitarianism,3
Nationalism against the EU,5
Underlying conspiracies,0
Side Effects,2
Effectiveness,0
Deaths,2
Vaccine Refusal,0
Corrupt Elites,5
Vaccine Injury,2
Sinister Origins,0
Freedom under Siege,3
Health Freedom,3
