text,labels
"Concern that vaccination provision in Scotland does not include children being examined pre-immunisation by health staff, and that children with a cough or cold may be vaccinated. ",1
Older child’s vaccination and later diagnosis of autism,6
Roman Catholicism and some other Christian denominations have expressed concern about the aborted fetal origins of the principal formulation of rubella vaccine and some cell lines used to manufacture certain types of viral vaccines. ,4
"Districts that typically decline immunization reflect a social tradition within these religious communities, related to modernity, more than a theological objection.",3
"Low immunization rates in Amish communities have been attributed variously to limited access to care, limited disease understanding, higher priority to other activities, and concerns about vaccine safety",6
"They tend to define illness in terms of failure to function in a work role, more than in terms of symptoms; Members are taught that disease is healed by convincing oneself of its unreality. ",2
"The Watch Tower Society denounced vaccination from the 1920s through the 1940s, citing scriptural passages; The group banned their members from vaccination around this time, under penalty of excommunication ",4
"Muslims may apply additional scrutiny to vaccines required for pilgrims to the annual Hajj in Mecca, when purity takes on extra significance ",4
The minister of health of the Nation of Islam advised believers to avoid all immunizations,4
"Most vaccines are genetically modified, claiming that such products are forbidden in both Judaism and Christianity based on Leviticus 19:19 and Matthew 15:13.",4
Tetanus toxoid immunization for adult women actually contained contraceptives or abortifacients were based on misunderstanding,2
Objected to immunization on the basis that God created humans in His own image and that the body is a temple not to be defiled,4
"The sexual route of exposure that can be associated with the corresponding pathogens. These objections to immunization were not theologically based per se, but rather arose indirectly as religious beliefs (usually of parents) affected views of acceptable sexual practices or timing. ",5
"She had medical issues, such as diabetes, asthma or allergies; had previously been exposed to numerous medical procedures; worried about how much a young body could tolerate and whether the vaccination would worsen her existing medical condition.",6
Extreme anxiety about injections.,6
Concern for their daughter’s autonomy; postpone the vaccination and let her decide for herself at a later date. ,10
"The information they received from the school health authorities was insufficient; did not talk about the actual vaccine and why it was needed; wanted transparent, unbiased information about all aspects of HPV and the HPV vaccination, together with links to reliable sources of more information. ",1
Girls today are exposed to sex at an early age and in a negative; wanted their daughter to postpone their first sexual experience and to only have a small number of partners.,5
The vaccine was not needed because the daughter was only supposed to have one partner and was not going to lead that kind of life of lax morals.,5
"It was important that their daughters were well informed about preventing sexually transmitted infections (STIs) before she became sexually active; the importance of using condoms and related health advice, such as taking part in future cervical cancer screening programmes; the HPV vaccine, without such information, could give them a false sense of security.",2
"They were suspicious about vaccinations in general; vaccinations were unnatural and that their child’s health would be improved, and their immune system strengthened, by having flu or the usual childhood diseases.",2
"They did not trust the school nurse. She or he did not give the family enough support, or they did not feel the nurse was competent enough to provide adequate information. ",1
The scientific record is inaccurate because it omits information about vaccine injury.,1
Side effects reported on nurses fainting and vaccine trial participants experiencing Bell palsy,6
"The COVID-19 vaccine being a vehicle for exerting political control over citizens; Concern over the influence of big, government-backed pharmaceutical companies (“Big Pharma”) that were motivated by profits instead of the desire to help people",0
"Mistrust toward the CEO of Pfizer and political figureheads in Canadian politics like Doug Ford (the elected provincial leader of Ontario), as they were not taking the vaccine; mistrust toward vaccines that was based on reports of not being able to take legal action against drug companies if a person experiences any side effects",1
"Legacy of harm caused by health care institutions that have traditionally targeted the Black, Indigenous, and people of color (BIPOC) community and the lesbian, gay, bisexual, transgender, queer+ (LGBTQ+) community; The Tuskegee syphilis experiment; The first people who were vaccinated in the United States were Black health care workers, and several Twitter users viewed this as forced participation in medical experiments; COVID-19 vaccination was viewed as paralleling the stigmatization of people who take pre-exposure prophylaxis, a medication for people living with HIV.",1
CIVIL LIBERTIES: Dealing with a real or perceived violation of civil liberties; Violating parental rights; Monitoring parents for adherence to vaccination schedules; ,10
Fear of contracting influenza from the vaccination itself.,2
"High levels of distrust of the medical community; a perception that [physicians who had written books about the dangers of vaccines] were courageous for speaking out against their peers, possibly to the detriment of their careers; physicians were biased in their attempt to get parents to vaccinate; they had specific agendas, including profit from the sale of vaccines; some would have preferred more information from their doctors on vaccines, with time to digest the information; while health care providers may have good intentions, they are unable to keep up with the volume of information available.",1
"Attaining immunity from the infection is more natural, effective and long-lasting than those related to vaccination",2
Consuming organic food and prolonging breastfeeding duration are more natural or effective than vaccination in increasing immunity against infectious disease,2
"Association of the Mumps-Measles-Rubella (MMR) vaccine with autism; Associations between vaccine adjuvants and macrophagic myofascitis, and Hepatitis B vaccine with multiple sclerosis",6
Refute the concept of herd immunity,1
"Religion as a reason to refrain from vaccination despite the absence of underlying theological evidence, such as the misconception that porcine material is used in the manufacturing of rotavirus vaccine",4
Vaccine-related side effects and adverse events,6
"First-time mothers repeatedly reported feeling vulnerable and needing guidance and sensitivity from their paediatrician. On the other hand, they felt mistrust when their physician was unavailable or when pressure was exerted on them to accept a suggested medical treatment or procedure.",1
"Mistrust in situations where mothers felt that the physician was responding in a routine manner to the mother’s emotions, ignoring fears or requests for additional information. The mothers repeatedly complained about time management in routine check-ups (little time for discussion, full waiting rooms) (…) feeling overwhelmed and stressed in such situation makes information-processing very difficult, even where the physician is trying to provide all the information.",1
"The hexa-vaccine (against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenza type b) and the MMR vaccine (mumps, measles, rubella) as being the riskiest (…) fear of side-effects, especially autism which the mothers perceived to be a potential risk; ",6
"Preferred natural or alternative treatments, especially in the initial phases of a disease.",2
"The anti-vaccination messages lead to concerns, instilling doubt, motivating people to think about side-effects, and encouraging them to seek out more information.",6
Mistrust toward the pharmaceutical business.,1
"Vaccines were dirty, contaminated with pus or bacteria.",6
Vaccines were linked to septicemia and described as loathsome,6
Religious views as a way to articulate a concern with the contents of vaccines,4
Altering the composition of blood,2
Injecting someone with an actual disease,2
Causing discomfort through vaccination.,6
Conspiracy theories about vaccination measures,0
Heavy metals and adjuvants (mercury/thimerosal),6
Cell lines of aborted fetuses,5
The production of vaccines in monkey kidneys.,5
Ads claimed that chiropractors trained to treat these interruptions and misalignments “can cure the ‘flu’”.,2
"A U.S. senator with a Christian Science background from California criticized vaccination, “de- nounc[ing] efforts of the old school physicians to set up what he terms a medical monopoly”",1
"We do not know the effects of vaccination because of insufficient safety trials, both pre- and post-licence. The most common way this is expressed is by reference to aspects of the standard model of ‘good science’.",1
The short-term nature of the trial ensures that potential links between the vaccine and long-term serious health problems will not be made. The true effects of vaccination therefore remain unknown.,1
The risk statistics used in vaccine promotion are considered more than just inaccurate: they are seen as irrelevant.,1
Mass vaccination being too concerned with the population level (one-size-fits-all),10
Vaccination and biomedicine in general were contrasted with chiropractic medicine,2
CDC or doctors in the pockets of big Pharma; big Pharma cover- ups; government cover ups of vaccine effects; physicians paid to vaccinate; vaccination policy is motivated by profit,0
Homeopathy as an alternative to vaccines; homeopathy as an alternative to medicine; food as medicine,2
"Vaccines cause rashes, seizures; kids who are not vaccinated get less illness",6
vaccines cause Sudden Infant Death Syndrome (SIDS),6
"Additives in vaccines are dangerous; posts about mercury, aluminum etc; chemicals are dangerous",6
Parents have the right to choose,10
Cannabis oil or marijuana effective at treating illness,2
Claims that vaccines cause neurological problems including seizures and autism,6
Vaccines have not been adequately tested for safety and efficacy via large-scale randomized control trials.,1
New vaccine,1
Metaphors about mistrust of new products,1
Infertility fears,6
Fear of parental disclosure (bills related to vaccination would be sent home),5
Being smart,2
Using condoms,2
"Once a woman was sexually active, it was too late to benefit from vaccination.",5
Administering the vaccine in immunization was still in doubt for its halal status because a vaccine composition was made from pigs.,4
Emergence of adverse events following immunization,6
Health workers’ attitude that tended to be ignorant when administering vaccines to their children.,1
Administering immunization was the same as adding disease to children.,2
"Herbal medicines could replace immunization, exclusive breastfeeding, other strategies (putting a bit of honey on the baby’s palate), and letting children play in the environment.",2
Peer pressure created a perception among the delaying mothers that they would put their children’s ability to speak at risk if they accepted the vaccine.,6
"Perceived risk of vaccine side effects, especially related to speech development (…) wait until the child could speak fluently.",6
Fear of other development disorders and that they did not want to risk their children developing any type of mental disorders by giving the MMR vaccine.,6
Some did not understand the reasons for vaccinating against MMR.,7
Doubted the effectiveness of the vaccine,1
Negative experiences related to how they were received at the CHC (…) These experiences included how the mothers were greeted at the CHCs by the nurses and how they were addressed with information in regard to vaccination.,1
"The mothers felt they were judged, had no chance of explaining their worries, and were denied the opportunity to get information about the vaccine.",1
Feeling of resentment and the perceived lack of interest in what they had to say,1
Little advice on managing post vaccination side effects,1
Unfriendly vaccinators/LHWs,1
Insufficient knowledge of technical skills:,1
No refresher trainings to build counselling skills,1
Religious/cultural hesitancy (local religious leaders suspicious of vaccines manufactured in foreign countries and mixing haram (forbidden in Islam) ingredients).,4
Complaints about side effects focused on,6
Alternatives to vaccination,2
Critiques biomedicine,1
Benefits of “natural” immunity,2
Vaccination as an infringement of personal liberty,10
Vaccines as government overreach,10
